人间喜剧观察家,力荐,2023-04-15 08:28:41,点映看完了，以下只代表我自己的感觉，没有任何参考性与客观性可言，只说两位新帅哥，向东流，意外的居然不油腻，这种类型的帅哥，演绎不好真的是会让人皱眉，但剧本和演绎都不错，刘静和他隔着厨房玻璃沟通那段真的很棒。另一位帅哥罗kk，帅是真的帅，但是每次镜头单独给到他脸上的时候，我就觉得电影的信息量骤减。我理解的是：他是个gay，但是在打游戏的时候发觉，他居然还挺喜欢夏梦的，就开始怀疑自己的性向，反复试探之后，然后在发现，原来一直和我们打游戏的，回答了我问题的人是夏梦的男朋友啊，我果然还是喜欢男人的（笃定的微笑），夏梦姐，我是想和你做朋友的，因为我们喜欢的男人的类型都很像。
蒜 | BOY A 🌈,力荐,2023-04-15 11:46:38,剧粉大喜！冲起来！我们需要这样的电影，无论是爱情还是人生，年轻人的世界永远充满无限可能。不会因为年龄到了结婚，哪怕有了孩子也可以不着急结婚，女性可以成为兼顾事业和家庭的上司，男生不需要有羞耻感，女生可以勇敢创业，即便在爱情里也不放弃探索和寻找自己，人生除了爱情还需要姐妹。这些打破社会主流刻板印象的价值观，是对每个人的尊重，也是对所有人的解放。
畅游瓜皮乐园,力荐,2023-04-12 20:30:51,看的点映，五星推荐陈导我原谅你拍秘密访客了，多拍点三姐妹吧
阳凡,力荐,2023-04-15 02:37:16,延续了剧版的轻松和搞笑，希望男生的戏份再多一些就更好了，小小希望男生也可以大胆露一下哈！
王大根,还行,2023-04-13 22:37:18,这系列以后得是宝贵的历史资料，差不多是唯一一部能记录疫情时代都市生活的非主旋律片了吧
叶底藏花,力荐,2023-04-15 12:49:12,电影真的是疲惫生活的解药，绝对是近期（指两三个月，苦笑.jpg）最愉悦的观影体验了，看完嘴角都还带着笑。这才是真正的时代姐妹花啊（狗头。会感动于坚固的友谊，更会为歌舞表演之前那一段新的规则下的夸赞鼓掌，女性才是最能理解女性的啊。能捕捉到时代的气息，当下且贴地，在此背景下遭遇的两难问题也足够真实。结尾歌舞与开头的call back不要太妙，如果有今年电影名场面的盘点我一定会选那一段。最后想说一句，友谊大过天。8/10
德小科,还行,2023-04-14 01:52:24,她仨如此可爱，让人甜蜜并快乐地忍受这差强人意的、（或许是为了演员档期而）强扭到捉襟见肘的剧情。只有夏梦的故事称得上是自然发展且完整的，取舍是技巧，感觉编导都尽力了，略带遗憾但还OK啦！华语太缺这个类型了，私心希望他们可以大胆尝试欧美季播剧的模式，合同制年更，让这个IP有机会多活几年。（为面包师鸡叫一整夜
壹安²,推荐,2023-04-15 11:32:55,@电影小时代 所以你现在知道为什么大家都diss你了吗？
不留痕迹,推荐,2023-04-15 00:15:59,作为剧版的粉丝觉得非常满足，虽然依旧是狗血不断麻烦不断的小打小闹，剧情也没啥实质性发展，但胜在紧紧围绕剧迷最爱的闺蜜间的相互扶持和作为现代女性的成长与诉求展开，不说教不谄媚，表达舒适自然，吐槽也毫不含糊，最终成了一出闺蜜版的《志明与春娇》。谁要一直看霸道总裁和特种兵啊，这才是现在观众最爱的大女主人设好嘛！另外陈正道这次的gay密线是kk？
苏西淳子,力荐,2023-04-17 22:13:43,想看导演拍个10季！
西楼尘,还行,2023-04-17 00:56:53,信任是堵塞的马桶，一旦试探就会变得一团狼藉。焦虑是渗水的顶板，一旦撬开墙皮就会滴个没完。谎言是偏差的子弹，一旦开枪就可能会中伤自己。爱情是最难理解的熵增定律，不能像交友软件轻松匹配。生活是充满反转的分子料理，不会像网红探店随意点评。姐妹是就算你嘴上说没事，还知道你不行留下来陪你。
糖酒粥,力荐,2023-04-15 22:11:56,张含韵王菊李纯真的都好美好有个性，好希望宋超可以回来！他真的很可爱！
未半,力荐,2023-04-23 08:17:33,终于在主旋律飞起的电影市场里又看到了小妞电影，而且不是那种撒狗血的青春疼痛文学或者粗制滥造的爱情喜剧，就是精准地探讨都市男女痛点，很好，也是难得剧转影不崩的案例，陈正道很有两把刷子。其实整体就像电视剧三集连播，开片与小时代达成联动，其实通片看下来剧情对于这个IP的推动近乎没有，但是人物塑造是连贯且讨喜的，真心不错。希望这个IP能直接演到三个女人五六十岁，一直缠缠绵绵相爱相杀hhh…以及最后伏笔，我最爱的竹马线要上分了吗！
栗子酱,还行,2023-04-14 15:45:21,及格的粉丝特供。比较失望这么多痛点又拿跳舞解决了…
东门捷径小V,力荐,2023-04-15 11:16:05,不仅延续了剧版的优点：轻松幽默、网感好，生活和职场戏接地气，三位女主的性格刻画和感情模式的典型性也更鲜明了。再次感慨主创能精准捕捉普通人的毒眼是创作的核心能力，看她们的经历会时不时代入自己和身边的朋友。为题材加一星，很需要这样随意walk in电影院就能收获的舒服愉快的观影体验。
Afterrunmaster,还行,2023-04-15 17:34:26,搞不懂为啥一定要拍成电影，就挺普通的，三位姐美死但是最后导演你是在拍什么。。。。。。
大奇特(Grinch),推荐,2023-04-08 17:09:16,正道许导太能驾驭女性题材了，并且真正懂女性，其他直男导演望尘莫及。开篇以探店讲故事的方式切入，既交代前史又扣主题，非剧迷也能迅速代入。三条线齐头并进写姐妹们在现实生活中的羁绊，关照女性欲求与困境，不时迸发着调侃跟自嘲，带有最具当下性的女性视角，甚至还有密接转运这样的贴地飞行（剧版就是最早引入疫情元素的影视）。学生时代没能完成的舞做到了有始有终，许下的规矩也在最后时刻结果，一切都是扎实的剧本结构带来的。本以为我不是目标受众，没想到也能被打到！
小青龙🌈,推荐,2023-04-05 17:04:01,7.5。最可贵的是它坚定的传递了一种女性源自自信的力量，在家庭，婚姻和事业中女性依旧可以去自由选择，不依靠或寻求其他人（特别是男性）的帮助而独立的存在，即使前方困难重重，我们仍有理由相信，女性的力量是足够强大的。
Emery_Hasio,推荐,2023-04-15 09:09:09,影版规格的缩减叙事下依旧以生活流作为创作蓝本，除去导演的私人表达之外几乎没有参照英美大女主都市群像戏玩不适配的婊气cosplay，反倒衍生出本土色调下的社会切片样例集锦，对多元女性议题的暴露选择自然埋设，从根源上摒弃了低级的直面摁头强塞，既不功利也无爹式说教味，在引发“吃女性题材红利”的潜在声讨中先声夺人，观感非常舒适；“你真信了？我骗你的”，陈正道用了一种唾弃廉价狗血情感的方式重申剧作基调，持续反常规、反套路、反刻奇，保留人物原始缺陷，灭掉传统的主角光环，深化对女性心理的洞察和对多类情感剖析的细腻性，多处饮食描写拓宽了对主题中“爱”的探讨，开篇对《小时代》的致敬比起理解为雌竞下的调侃更偏向看作是多元女性群像的合理共存。真诚希望这个ip能够继续做下去，至少在现环境下它是异常可贵的…
亵渎电影,还行,2023-04-15 00:41:46,剧版的粉丝不要错过这次的4集加更，一口气看4集，大银幕追剧太欢乐了。点映场的男观众有不少生活西化的集美，白恩秀腹肌的时候，听到了某个集美的鸡叫。剧版的优点也都在，还是那个感觉，而且最后上价值的时候，比剧版收敛了很多，更加舒服。三姐妹身上承载着当下女性的会遇到的各种社会议题，加的都很自然，更关键的是，导演能拍出同类国产影视作品里拍不出的生活感，很接地气。超爱三姐妹的写法，很多人想做美剧，但还是传统的写法，这是第一次看到有人这么写人物，有了真正的美剧味道，已经开始期待第二季了。
